;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1;Theta O1;Alpha O1;Beta O1;Delta PO7;Theta PO7;Alpha PO7;Beta PO7;Delta O2;Theta O2;Alpha O2;Beta O2;Delta PO8;Theta PO8;Alpha PO8;Beta PO8;Delta PO3;Theta PO3;Alpha PO3;Beta PO3;Delta PO4;Theta PO4;Alpha PO4;Beta PO4;Delta_1;Theta_1;Alpha_1;Beta_1;
2S7;Resting;0.010930859;0.018795424;0.037929764;0.047777715;0.015667871;0.018069088;0.03392256;0.05070991;0.018247307;0.021768597;0.032176243;0.054288037;0.012672042;0.019593749;0.06244054;0.06141484;0.040397313;0.018528565;0.030561392;0.026933305;0.018731066;0.022474072;0.032628983;0.040904787;0.018158122;0.020276039;0.043674653;0.033367428;-0.891739;-4.24117;-1.37685;8.12284;-1.76474
2S8;Resting;0.007051815;0.016425505;0.066425672;0.018701188;0.007394144;0.015663026;0.072760472;0.019362714;0.007761282;0.017366737;0.100260956;0.021455306;0.006532415;0.017187831;0.072740192;0.018603754;0.007362603;0.018752874;0.077018154;0.018962165;0.008213506;0.021796002;0.089776754;0.019943062;0.008321746;0.027472204;0.091761955;0.018684129;-7.52528;-4.45711;7.78687;-4.79568;-1.66846
2S9;Resting;0.006461121;0.011724852;0.048258114;0.029166849;0.006597269;0.012888837;0.065735391;0.034380716;0.007682958;0.012605553;0.081196416;0.040319368;0.00643827;0.011193178;0.059761397;0.03304979;0.004554157;0.00905398;0.065815081;0.037620951;0.008496225;0.015560234;0.095871588;0.045089729;0.006968211;0.011773341;0.087169588;0.039119907;-7.97923;-8.37998;5.43926;3.96567;-5.28405
2S10;Resting;0.004902422;0.007917356;0.080046051;0.009615468;0.005731072;0.008561305;0.10293231;0.011169336;0.006007837;0.009530227;0.102223751;0.010858974;0.00367738;0.006828847;0.083579386;0.009818523;0.003600011;0.006799002;0.076763783;0.010439514;0.007574516;0.010393977;0.13424268;0.013761574;0.006489689;0.009410123;0.141589089;0.013574915;-8.73333;-10.2798;12.5089;-8.79078;-6.70625
2S11;Resting;0.027863328;0.023799624;0.018234168;0.02719102;0.029413424;0.026186167;0.020056509;0.029953058;0.033792586;0.02539606;0.020601857;0.02757741;0.024320271;0.020946629;0.017764449;0.02618924;0.025794634;0.022501235;0.022052779;0.039232193;0.040412907;0.031023166;0.02878211;0.032054064;0.033382612;0.02799204;0.027171958;0.042559657;5.69607;-1.30835;-5.53745;1.67623;0.359535
2S12;Resting;0.004418553;0.014872831;0.06030568;0.007368621;0.004786827;0.015904645;0.081373179;0.00758108;0.006187199;0.018393406;0.090401207;0.007539211;0.004052579;0.016685088;0.0702938;0.00729415;0.005307016;0.01944685;0.087790311;0.006115684;0.006530442;0.02560065;0.139697875;0.009771178;0.00632842;0.029932366;0.12357158;0.010059807;-8.76568;-3.96018;10.0058;-10.4651;-1.33965
2S13;Resting;0.005427338;0.017296859;0.071034367;0.015301688;0.006431154;0.01855525;0.096549833;0.017792074;0.005530665;0.014935766;0.07456258;0.015090474;0.006264123;0.018720381;0.085203576;0.018073917;0.007668744;0.019049455;0.147403277;0.025937317;0.006436579;0.017616479;0.087391227;0.017272536;0.006753651;0.018708606;0.100162077;0.020138436;-8.18297;-5.28607;10.6727;-5.18166;-2.23891
2S1;Acuity left;0.015061265;0.020084653;0.015754714;0.038807006;0.016891919;0.022411969;0.019814704;0.048950719;0.019994972;0.025666009;0.030062549;0.127594891;0.013616799;0.017001658;0.013780587;0.044476188;0.015157637;0.019772145;0.020468602;0.076254057;0.019441485;0.025351196;0.021914378;0.047806551;0.022352574;0.026960024;0.020387124;0.051625305;-1.80112;-2.86896;-5.95312;14.7809;-0.908441
2S2;Acuity left;0.012004109;0.046820567;0.037981469;0.031264753;0.009193243;0.044239118;0.046861743;0.03269343;0.045369333;0.084570659;0.061898813;0.047040463;0.010344758;0.037036598;0.028919762;0.028504908;0.0098914;0.031568253;0.022587214;0.026823959;0.010888311;0.03939015;0.054072384;0.029470959;0.010035127;0.032944744;0.028364254;0.024988801;-3.27027;8.51411;-1.34839;1.0036;6.37239
2S3;Acuity left;0.007383836;0.036112647;0.049179676;0.009697683;0.006245062;0.042265955;0.060777908;0.010012255;0.00680711;0.049543692;0.076803336;0.011207507;0.00489608;0.026702302;0.03672939;0.008265565;0.00392096;0.020365925;0.028141628;0.006178886;0.009538531;0.058903064;0.097469425;0.016375822;0.006476618;0.033619982;0.050541803;0.011605545;-8.1459;5.19919;2.33303;-9.20337;3.59786
2S4;Acuity left;0.036340934;0.056012168;0.023925949;0.022571299;0.044648783;0.062715058;0.027549471;0.024927677;0.051535482;0.064294654;0.028226192;0.027265695;0.020842251;0.036343646;0.018159086;0.014873109;0.011407077;0.021960013;0.011272066;0.01279882;0.039224757;0.057720279;0.025032106;0.019837196;0.021518394;0.038229376;0.019753529;0.014500094;6.40922;10.2533;-5.38821;-4.79321;6.91
2S5;Acuity left;0.02656972;0.046026541;0.031378856;0.035608101;0.029855387;0.040964797;0.030430709;0.036691494;0.026875911;0.030314675;0.025544295;0.036552884;0.022833922;0.031300498;0.025706323;0.033826765;0.018689218;0.026308948;0.019800222;0.028707243;0.02853657;0.029145285;0.026069738;0.033940088;0.023029293;0.025665145;0.02260488;0.029268163;2.58615;2.41198;-4.40854;2.3453;3.13363
2S6;Acuity left;0.018766666;0.029313928;0.030144928;0.049832602;0.01752368;0.027306876;0.031637407;0.054676978;0.014827542;0.022941773;0.02875702;0.054095403;0.017036845;0.035845349;0.029175202;0.04677403;0.013016657;0.024992845;0.028161944;0.045410788;0.018467346;0.025298517;0.027333208;0.054229722;0.017896;0.026857002;0.029630874;0.05510192;-2.17564;-0.193009;-3.74238;11.3628;1.94445
2S7;Acuity left;0.024879058;0.037706335;0.028312723;0.034484584;0.023598086;0.033651005;0.029644931;0.041584621;0.022109907;0.02766025;0.028726784;0.049747952;0.022780158;0.026703435;0.020062024;0.026935605;0.043802207;0.017654755;0.014773521;0.020070365;0.035914116;0.041220536;0.028531216;0.033084651;0.033163416;0.034023591;0.022850238;0.024944573;5.0213;1.72864;-4.75574;1.77334;2.03732
2S8;Acuity left;0.020424256;0.032709514;0.022402558;0.042830372;0.021705286;0.03357701;0.025925404;0.046965728;0.02339036;0.031382926;0.030425093;0.047056679;0.017874077;0.028629876;0.019745329;0.040487045;0.017248079;0.026644847;0.018318852;0.042906158;0.024018319;0.037620485;0.028709152;0.042641312;0.023065937;0.034985785;0.023781756;0.035964957;0.247478;2.28484;-4.98437;6.86675;3.12761
2S9;Acuity left;0.025333851;0.029598179;0.020150246;0.051986283;0.018487107;0.025322055;0.02135028;0.056730028;0.018293102;0.02310464;0.022468555;0.049190504;0.023787308;0.031687762;0.019677212;0.047171403;0.012678512;0.017907501;0.015335212;0.038691097;0.025032468;0.033709017;0.027205533;0.049832696;0.025307253;0.036208409;0.022897117;0.042764346;0.431274;0.272157;-5.62603;9.76147;1.67269
2S10;Acuity left;0.016741056;0.02353499;0.045512567;0.013588407;0.015947367;0.020426642;0.056004728;0.016019031;0.014289005;0.017403686;0.064437281;0.016289435;0.015409818;0.016352302;0.047272738;0.012801199;0.015868735;0.015337733;0.053608214;0.012671882;0.020046393;0.023167604;0.096224124;0.018973755;0.020737043;0.020754774;0.110831273;0.016391283;-2.05568;-4.42432;4.32878;-6.83756;-2.16667
2S11;Acuity left;0.027945968;0.038191205;0.013047483;0.013907975;0.029039163;0.037407841;0.013365464;0.014959278;0.024591782;0.023864256;0.010282269;0.014231522;0.024231279;0.025651816;0.009377973;0.013808114;0.023598112;0.020513721;0.009837494;0.018152764;0.039990343;0.036869201;0.016962264;0.020096981;0.033842552;0.023231108;0.011981783;0.016783687;4.81301;0.660111;-7.69374;-6.433;1.37918
2S12;Acuity left;0.02522669;0.0449144;0.030554166;0.030334967;0.023402883;0.036324671;0.03500832;0.02929725;0.017054629;0.026702535;0.033431781;0.02682409;0.022888826;0.041158579;0.02962761;0.029858152;0.013636636;0.021612161;0.023647062;0.0233881;0.025845778;0.044913796;0.040577415;0.025714958;0.027910244;0.045569289;0.033441254;0.023770388;1.03947;5.08576;-3.10272;-0.835308;5.26882
2S13;Acuity left;0.024139992;0.04483167;0.032924313;0.027329447;0.033511016;0.037207892;0.035962037;0.031752637;0.039082487;0.032750502;0.037990937;0.032353101;0.019120923;0.039509502;0.02659479;0.024533813;0.023240169;0.040650571;0.024606277;0.02805012;0.032551337;0.032807832;0.035755907;0.031906638;0.018259896;0.029509429;0.026659321;0.026542627;3.51571;4.58292;-3.23863;-0.0372214;5.92713
